PRODUCT ID,LOCATION,ON HAND
cx2-63970-1,warehouse-1,1000
cx2-63970-2,warehouse-1,1000
cx2-63970-3,warehouse-1,1000
cx2-63970-4,warehouse-1,1000
cx2-63970-5,warehouse-1,1000
cx2-63970-6,warehouse-1,1000
cx2-63970-7,warehouse-1,1000
cx2-63970-8,warehouse-1,1000
cx2-63970-9,warehouse-1,1000
cx2-63970-10,warehouse-1,1000
cx2-34236-1,warehouse-1,1000
cx2-34236-2,warehouse-1,1000
cx2-63328-1,warehouse-1,1000
cx2-63328-2,warehouse-1,1000
cx2-63328-3,warehouse-1,1000
cx2-67472-1,warehouse-1,1000
cx2-67472-2,warehouse-1,1000
cx2-67472-3,warehouse-1,1000
cx2-67472-4,warehouse-1,1000
cx2-47739-1,warehouse-1,1000
cx2-47739-2,warehouse-1,1000
cx2-47739-3,warehouse-1,1000
cx2-87660-1,warehouse-1,1000
cx2-87660-2,warehouse-1,1000
cx2-87660-3,warehouse-1,1000
cx2-60100-1,warehouse-1,1000
cx2-60100-2,warehouse-1,1000
cx2-60100-3,warehouse-1,1000
cx2-60100-4,warehouse-1,1000
cx2-60100-5,warehouse-1,1000
cx2-60100-6,warehouse-1,1000
cx2-60100-7,warehouse-1,1000
cx2-60100-8,warehouse-1,1000
cx2-60100-9,warehouse-1,1000
cx2-60100-10,warehouse-1,1000
cx2-60100-11,warehouse-1,1000
cx2-60100-12,warehouse-1,1000
cx2-60100-13,warehouse-1,1000
cx2-60100-14,warehouse-1,1000
cx2-60100-15,warehouse-1,1000
cx2-60100-16,warehouse-1,1000
cx2-60100-17,warehouse-1,1000
cx2-60100-18,warehouse-1,1000
cx2-25031-1,warehouse-1,1000
cx2-25031-2,warehouse-1,1000
cx2-25031-3,warehouse-1,1000
cx2-7235-1,warehouse-1,1000
cx2-29295-1,warehouse-1,1000
cx2-93189-1,warehouse-1,1000
cx2-93189-2,warehouse-1,1000
cx2-93189-3,warehouse-1,1000
cx2-93189-4,warehouse-1,1000
cx2-93189-5,warehouse-1,1000
cx2-93189-6,warehouse-1,1000
cx2-93189-7,warehouse-1,1000
cx2-93189-8,warehouse-1,1000
cx2-93189-9,warehouse-1,1000
cx2-93189-10,warehouse-1,1000
cx2-93189-11,warehouse-1,1000
cx2-93189-12,warehouse-1,1000
cx2-93189-13,warehouse-1,1000
cx2-93189-14,warehouse-1,1000
cx2-93189-15,warehouse-1,1000
cx2-93189-16,warehouse-1,1000
cx2-93189-17,warehouse-1,1000
cx2-93189-18,warehouse-1,1000
cx2-93189-19,warehouse-1,1000
cx2-93883-1,warehouse-1,1000
cx2-93883-2,warehouse-1,1000
cx2-93883-3,warehouse-1,1000
cx2-905-1,warehouse-1,1000
cx2-905-2,warehouse-1,1000
cx2-37371-1,warehouse-1,1000
cx2-37371-2,warehouse-1,1000
cx2-28169-1,warehouse-1,1000
cx2-28169-2,warehouse-1,1000
cx2-28169-3,warehouse-1,1000
cx2-23240-1,warehouse-1,1000
cx2-23240-2,warehouse-1,1000
cx2-23240-3,warehouse-1,1000
cx2-79776-1,warehouse-1,1000
cx2-79776-2,warehouse-1,1000
cx2-8084-1,warehouse-1,1000
cx2-3395-1,warehouse-1,1000
cx2-28561-1,warehouse-1,1000
cx2-28561-2,warehouse-1,1000
cx2-28561-3,warehouse-1,1000
cx2-38532-1,warehouse-1,1000
cx2-88870-1,warehouse-1,1000
cx2-71586-1,warehouse-1,1000
cx2-71586-2,warehouse-1,1000
cx2-71586-3,warehouse-1,1000
cx2-76865-1,warehouse-1,1000
cx2-76865-2,warehouse-1,1000
cx2-15992-1,warehouse-1,1000
cx2-15992-2,warehouse-1,1000
cx2-15992-3,warehouse-1,1000
cx2-15992-4,warehouse-1,1000
cx2-38764-1,warehouse-1,1000
cx2-38764-2,warehouse-1,1000
cx2-63890-1,warehouse-1,1000
cx2-27938-1,warehouse-1,1000
cx2-27938-2,warehouse-1,1000
cx2-27938-3,warehouse-1,1000
cx2-27938-4,warehouse-1,1000
cx2-27938-5,warehouse-1,1000
cx2-43245-1,warehouse-1,1000
cx2-43245-2,warehouse-1,1000
cx2-43245-3,warehouse-1,1000
cx2-43245-4,warehouse-1,1000
cx2-43245-5,warehouse-1,1000
cx2-15189-1,warehouse-1,1000
cx2-15189-2,warehouse-1,1000
cx2-15189-3,warehouse-1,1000
cx2-15189-4,warehouse-1,1000
cx2-15189-5,warehouse-1,1000
cx2-9012-1,warehouse-1,1000
cx2-96697-1,warehouse-1,1000
cx2-96697-2,warehouse-1,1000
cx2-96697-3,warehouse-1,1000
cx2-24623-1,warehouse-1,1000
cx2-24623-2,warehouse-1,1000
cx2-24623-3,warehouse-1,1000
cx2-24623-4,warehouse-1,1000
cx2-70531-1,warehouse-1,1000
cx2-82395-1,warehouse-1,1000
cx2-82395-2,warehouse-1,1000
cx2-82395-3,warehouse-1,1000
cx2-82395-4,warehouse-1,1000
cx2-82395-5,warehouse-1,1000
cx2-82395-6,warehouse-1,1000
cx2-82395-7,warehouse-1,1000
cx2-82395-8,warehouse-1,1000
cx2-82395-9,warehouse-1,1000
cx2-82395-10,warehouse-1,1000
cx2-82395-11,warehouse-1,1000
cx2-82395-12,warehouse-1,1000
cx2-82395-13,warehouse-1,1000
cx2-82395-14,warehouse-1,1000
cx2-82395-15,warehouse-1,1000
cx2-82395-16,warehouse-1,1000
cx2-82395-17,warehouse-1,1000
cx2-82395-18,warehouse-1,1000
cx2-82395-19,warehouse-1,1000
cx2-82395-20,warehouse-1,1000
cx2-82395-21,warehouse-1,1000
cx2-82395-22,warehouse-1,1000
cx2-82395-23,warehouse-1,1000
cx2-82395-24,warehouse-1,1000
cx2-70627-1,warehouse-1,1000
cx2-70627-2,warehouse-1,1000
cx2-70627-3,warehouse-1,1000
cx2-70627-4,warehouse-1,1000
cx2-70627-5,warehouse-1,1000
cx2-70627-6,warehouse-1,1000
cx2-70627-7,warehouse-1,1000
cx2-70627-8,warehouse-1,1000
cx2-70627-9,warehouse-1,1000
cx2-70627-10,warehouse-1,1000
cx2-70627-11,warehouse-1,1000
cx2-70627-12,warehouse-1,1000
cx2-70627-13,warehouse-1,1000
cx2-70627-14,warehouse-1,1000
